path,area,preview
backend/src/main/java/com/myblog/infrastructure/security/JwtAuthenticationInterceptor.java,backend-auth,"JWT request authentication, public route classification, query-token handling"
backend/src/main/java/com/myblog/infrastructure/security/JwtTokenProvider.java,backend-auth,"JWT signing and validation"
backend/src/main/java/com/myblog/infrastructure/security/AuthContext.java,backend-auth,"ThreadLocal request identity context"
backend/src/main/java/com/myblog/infrastructure/config/WebMvcConfig.java,backend-config,"interceptors, CORS, upload static resource handling"
backend/src/main/resources/application.yml,backend-config,"security-sensitive defaults and service credentials"
backend/src/main/java/com/myblog/interfaces/rest/controller/MessageController.java,backend-messages,"message APIs and SSE"
backend/src/main/java/com/myblog/application/service/MessageAppService.java,backend-messages,"message authorization and conversation operations"
backend/src/main/resources/mapper/MessageMapper.xml,backend-messages,"message persistence queries"
backend/src/main/resources/mapper/ConversationMapper.xml,backend-messages,"conversation deletion update using selected column"
backend/src/main/java/com/myblog/domain/model/aggregate/Conversation.java,backend-messages,"conversation participant model"
backend/src/main/java/com/myblog/interfaces/rest/controller/UploadController.java,backend-upload,"upload API and type validation"
backend/src/main/java/com/myblog/infrastructure/storage/local/LocalFileStorage.java,backend-upload,"local storage filesystem sink"
backend/src/main/java/com/myblog/infrastructure/storage/cos/CosFileStorage.java,backend-upload,"COS upload and presigned URL"
backend/src/main/java/com/myblog/application/service/ArticleAppService.java,backend-content,"article creation/update sanitization path"
frontend/src/components/ArticleFeed.vue,frontend-content,"shared feed rendering of article titles and summaries"
frontend/src/utils/markdown.js,frontend-content,"DOMPurify markdown renderer"
frontend/src/api/messages.js,frontend-auth,"SSE EventSource query token"
frontend/src/api/notifications.js,frontend-auth,"SSE EventSource query token"
frontend/src/api/http.js,frontend-auth,"Authorization header handling"
backend/src/main/java/com/myblog/interfaces/rest/controller/AdminController.java,backend-admin,"admin role checks and exports"
backend/src/main/java/com/myblog/interfaces/rest/controller/AdminAdsController.java,backend-admin,"admin role checks and ad URL persistence"
backend/src/main/java/com/myblog/application/service/AdAppService.java,backend-ads,"ad target URL validation and public DTOs"
